,0.826184980407,0
movie.name,0.0752590047775,0.432983323039
director.name,0.0127220999517, 0.0731933292156
actor.name,0.0121853024854,0.0701050030883 
rating.name,0.0107359493263, 0.0617665225448
producer.name,0.0104675505932, 0.0602223594812
country.name,0.01019915186, 0.0586781964175
movie.language,0.0093402759139,0.053736874614
movie.subject,0.00923291642063, 0.0531192093885
person.name,0.00810564174137, 0.0466337245213
movie.genre,0.00504589618337, 0.029030265596
movie.release_date,0.00467013795695, 0.026868437307
character.name,0.00263030758495, 0.0151327980235
movie.location,0.000912555692737, 0.00525015441631
award.ceremony,0.000536797466316, 0.00308832612724
movie.release_region,0.000483117719684, 0.00277949351452
movie.gross_revenue,0.000429437973053, 0.00247066090179
actor.nationality,0.000268398733158, 0.00154416306362
actor.type,0.000161039239895, 0.000926497838172
director.nationality,0.000107359493263, 0.000617665225448
movie.description,0.000107359493263, 0.000617665225448
person.nationality,0.000107359493263, 0.000617665225448
movie.star_rating,5.36797466316e-05, 0.000308832612724
award.category,5.36797466316e-05, 0.000308832612724
